t,phi,omega,mu
0, 0.06, 6.0, -1.3877787807814457e-17
0.01, 0.12, 6.0, -1.3877787807814457e-17
0.02, 0.18, 6.0, -1.3877787807814457e-17
0.03, 0.24, 6.0, -1.3877787807814457e-17
0.04, 0.3, 6.0, -1.3877787807814457e-17
0.05, 0.36, 6.0, -1.3877787807814457e-17
0.060000000000000005, 0.42, 6.0, -1.3877787807814457e-17
0.07, 0.48, 6.0, -1.3877787807814457e-17
0.08, 0.54, 6.0, -1.3877787807814457e-17
0.09, 0.6000000000000001, 6.0, -1.3877787807814457e-17
0.09999999999999999, 0.6600000000000001, 6.0, -1.3877787807814457e-17
0.10999999999999999, 0.7200000000000002, 6.0, -1.3877787807814457e-17
0.11999999999999998, 0.7800000000000002, 6.0, -1.3877787807814457e-17
0.12999999999999998, 0.8400000000000003, 6.0, -1.3877787807814457e-17
0.13999999999999999, 0.9000000000000004, 6.0, -1.3877787807814457e-17
0.15, 0.9600000000000004, 6.0, -1.3877787807814457e-17
0.16, 1.0200000000000005, 6.0, -1.3877787807814457e-17
0.17, 1.0800000000000005, 6.0, -1.3877787807814457e-17
0.18000000000000002, 1.1400000000000006, 6.0, -1.3877787807814457e-17
0.19000000000000003, 1.2000000000000006, 6.0, -1.3877787807814457e-17
0.20000000000000004, 1.2600000000000007, 6.0, -1.3877787807814457e-17
0.21000000000000005, 1.3200000000000007, 6.0, -1.3877787807814457e-17
0.22000000000000006, 1.3800000000000008, 6.0, -1.3877787807814457e-17
0.23000000000000007, 1.4400000000000008, 6.0, -1.3877787807814457e-17
0.24000000000000007, 1.5000000000000009, 6.0, -1.3877787807814457e-17
0.25000000000000006, 1.560000000000001, 6.0, -1.3877787807814457e-17
0.26000000000000006, 1.620000000000001, 6.0, -1.3877787807814457e-17
0.2700000000000001, 1.680000000000001, 6.0, -1.3877787807814457e-17
0.2800000000000001, 1.740000000000001, 6.0, -1.3877787807814457e-17
0.2900000000000001, 1.8000000000000012, 6.0, -1.3877787807814457e-17
0.3000000000000001, 1.8600000000000012, 6.0, -1.3877787807814457e-17
0.3100000000000001, 1.9200000000000013, 6.0, -1.3877787807814457e-17
0.3200000000000001, 1.9800000000000013, 6.0, -1.3877787807814457e-17
0.3300000000000001, 2.0400000000000014, 6.0, -1.3877787807814457e-17
0.34000000000000014, 2.1000000000000014, 6.0, -1.3877787807814457e-17
0.35000000000000014, 2.1600000000000015, 6.0, -1.3877787807814457e-17
